ID,Timestamp,Event Type,Details
85,2026-07-23 17:56:39,ACK_RECEIVED,OK - uplink restored
84,2026-07-23 17:56:38,DEVICE_STATUS,NORMAL (verified)
83,2026-07-23 17:56:38,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
82,2026-07-23 17:51:39,ACK_RECEIVED,OK - uplink cut
81,2026-07-23 17:51:37,DEVICE_STATUS,LOCKDOWN (verified)
80,2026-07-23 17:51:36,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
79,2026-07-23 17:50:49,ACK_RECEIVED,OK - uplink restored
78,2026-07-23 17:50:48,DEVICE_STATUS,NORMAL (verified)
77,2026-07-23 17:50:48,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
76,2026-07-23 17:50:35,SYSTEM,MQTT Connected successfully
75,2026-07-23 17:49:12,SYSTEM,MQTT Connected successfully
74,2026-07-23 17:27:14,ACK_RECEIVED,OK - uplink restored
73,2026-07-23 17:27:14,DEVICE_STATUS,NORMAL (verified)
72,2026-07-23 17:27:14,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
71,2026-07-23 17:26:55,ACK_RECEIVED,OK - uplink cut
70,2026-07-23 17:26:53,DEVICE_STATUS,LOCKDOWN (verified)
69,2026-07-23 17:26:53,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
68,2026-07-23 17:26:04,DEVICE_STATUS,ONLINE (Boot completed)
67,2026-07-23 17:22:33,ACK_RECEIVED,OK - uplink restored
66,2026-07-23 17:22:33,DEVICE_STATUS,NORMAL (verified)
65,2026-07-23 17:22:33,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
64,2026-07-23 17:21:07,DEVICE_STATUS,NORMAL (Heartbeat ยืนยันตัวตนสำเร็จ กลับมาแล้ว)
63,2026-07-23 17:20:51,SYSTEM,MQTT Connected successfully
62,2026-07-23 17:18:30,SYSTEM,MQTT Connected successfully
61,2026-07-23 17:18:01,SYSTEM,MQTT Connected successfully
60,2026-07-23 17:08:31,ATTACK_SIM,Stale Packet sent
59,2026-07-23 17:08:28,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
58,2026-07-23 17:08:09,SYSTEM,MQTT Connected successfully
57,2026-07-23 15:29:42,ACK_RECEIVED,STALE - timestamp out of window
56,2026-07-23 15:29:42,ATTACK_SIM,Stale Packet sent
55,2026-07-23 15:29:27,ACK_RECEIVED,STALE - timestamp out of window
54,2026-07-23 15:29:27,ATTACK_SIM,Stale Packet sent
53,2026-07-23 15:29:17,DEVICE_STATUS,NORMAL (Heartbeat ยืนยันตัวตนสำเร็จ กลับมาแล้ว)
52,2026-07-23 15:29:14,ACK_RECEIVED,OK - uplink restored
51,2026-07-23 15:29:14,DEVICE_STATUS,NORMAL (verified)
50,2026-07-23 15:29:14,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
49,2026-07-23 15:29:02,SYSTEM,MQTT Connected successfully
48,2026-07-23 14:42:35,ACK_RECEIVED,OK - uplink cut
47,2026-07-23 14:42:34,DEVICE_STATUS,LOCKDOWN (verified)
46,2026-07-23 14:42:34,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
45,2026-07-23 14:42:22,ACK_RECEIVED,STALE - timestamp out of window
44,2026-07-23 14:42:22,ATTACK_SIM,Stale Packet sent
43,2026-07-23 14:42:01,ACK_RECEIVED,BAD_HMAC - sig mismatch
42,2026-07-23 14:42:01,ATTACK_SIM,Tampered HMAC Packet sent
41,2026-07-23 14:41:54,ACK_RECEIVED,OK - uplink restored
40,2026-07-23 14:41:54,DEVICE_STATUS,NORMAL (verified)
39,2026-07-23 14:41:54,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
38,2026-07-23 14:41:37,ACK_RECEIVED,OK - uplink cut
37,2026-07-23 14:41:36,DEVICE_STATUS,LOCKDOWN (verified)
36,2026-07-23 14:41:36,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
35,2026-07-23 14:41:10,ACK_RECEIVED,OK - uplink restored
34,2026-07-23 14:41:10,DEVICE_STATUS,NORMAL (verified)
33,2026-07-23 14:41:10,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
32,2026-07-23 14:40:23,DEVICE_STATUS,ONLINE (Boot completed)
31,2026-07-23 14:39:17,SYSTEM,MQTT Connected successfully
30,2026-07-23 14:30:32,SYSTEM,MQTT Connected successfully
29,2026-07-23 11:31:57,ACK_RECEIVED,OK - uplink restored
28,2026-07-23 11:31:57,DEVICE_STATUS,NORMAL (verified)
27,2026-07-23 11:31:57,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
26,2026-07-23 11:31:43,SYSTEM,MQTT Connected successfully
25,2026-07-23 04:18:46,ACK_RECEIVED,OK - uplink cut
24,2026-07-23 04:18:43,DEVICE_STATUS,LOCKDOWN (verified)
23,2026-07-23 04:18:43,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
22,2026-07-23 04:18:32,ACK_RECEIVED,OK - uplink restored
21,2026-07-23 04:18:32,DEVICE_STATUS,NORMAL (verified)
20,2026-07-23 04:18:32,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
19,2026-07-23 04:18:28,DEVICE_STATUS,NORMAL (Heartbeat ยืนยันตัวตนสำเร็จ กลับมาแล้ว)
18,2026-07-23 04:18:23,SECURITY_ALERT,Unauthorized button click attempt (Wrong PIN)
17,2026-07-23 04:18:12,SYSTEM,MQTT Connected successfully
16,2026-07-23 04:16:29,SYSTEM,MQTT Connected successfully
15,2026-07-23 04:15:37,ACK_RECEIVED,OK - uplink cut
14,2026-07-23 04:15:37,DEVICE_STATUS,LOCKDOWN (verified)
13,2026-07-23 04:15:37,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
12,2026-07-23 04:15:11,ACK_RECEIVED,OK - uplink restored
11,2026-07-23 04:15:10,DEVICE_STATUS,NORMAL (verified)
10,2026-07-23 04:15:10,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
9,2026-07-23 04:13:21,ACK_RECEIVED,OK - uplink cut
8,2026-07-23 04:13:21,DEVICE_STATUS,LOCKDOWN (verified)
7,2026-07-23 04:13:21,COMMAND_SENT,CUT_UPLINK - ตัดการเชื่อมต่อเครือข่าย
6,2026-07-23 04:02:02,ACK_RECEIVED,OK - uplink restored
5,2026-07-23 04:02:02,DEVICE_STATUS,NORMAL (verified)
4,2026-07-23 04:02:02,COMMAND_SENT,RESTORE_UPLINK - คืนค่าระบบเครือข่ายปกติ
3,2026-07-23 04:01:56,SECURITY_ALERT,Unauthorized button click attempt (Wrong PIN)
2,2026-07-23 04:01:26,DEVICE_STATUS,ONLINE (Boot completed)
1,2026-07-23 03:59:50,SYSTEM,MQTT Connected successfully
